ASV_ID,ER1,ER2,ER3,ExtCtrl,G1R1,G1R2,G1R3,G2R1,G2R2,G2R3,MockPosCtrl,PCRCtrl,RP1R1,RP1R2,RP1R3,RP2R1,RP2R2,RP2R3,SL1R1,SL1R2,SL1R3,SL2R1,SL2R2,SL2R3
a72528c60d419af5160c087e24f49607,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,6235
461a2212dc86fefc9324db38dc4503c0,0,0,0,0,3582,3195,208,192,140,175,0,0,0,0,0,0,0,0,0,0,0,0,1905,0
1d7626cdaab3845c43545eaec25f5946,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,6628
8a29582929a2f086cfc1044600fae54a,2234,2155,2428,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,2448,0,0
2ddaf7797fadb3dbc1c516d8dea2ccf9,2126,2444,1974,6,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,2382,0,0
8b1013d5de5380e5dfec9a29b9c7a1ea,0,0,0,0,655,684,428,2350,2391,2386,0,0,0,0,0,0,0,0,0,0,0,0,264,0
6b4bbc42ccd927490cb029595fd96909,0,0,0,0,1027,872,285,1622,1985,2225,0,0,0,0,0,0,0,0,0,0,0,0,965,0
da611db2f15733e8940e4258eb919c32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,2167,5762,0,0,0,0,0,0
74397dc7d632caf051bddc6e69fcb6f9,2073,2229,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0,0
9e44ea9d248db9105a8eec4cc6a865ae,0,0,0,0,0,0,0,0,0,0,0,0,2753,3489,1795,0,0,746,0,0,0,0,0,0
1906c5a14273271084b0c6570a27e64c,0,0,0,0,328,354,0,2282,2779,2641,0,0,0,0,0,0,0,0,0,0,0,0,358,0
0ae5eba8deeeb858f8b861d941f39ba8,0,0,0,0,37,29,0,2703,2872,2603,0,0,0,380,0,0,0,0,0,0,0,0,0,0
b28f0bcccb5c39daeeabd2aac6531ebf,0,0,0,0,0,0,0,2621,2982,2985,0,0,0,0,0,0,0,0,0,0,0,0,29,0
3e55148fa9b139d099ee6583083df338,2002,2204,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358,0,0
d8825ca9632a4aad661decea61bdc155,1881,2219,1750,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,2361,0,0
ee0ec327ff061c7e889d04fb5df73fcb,2264,1953,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0
1515a01d67e301b95b621b8cf21298e7,1822,1963,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126,0,0
2dad05ff999ca5a20acf54b8a696ac07,0,0,0,0,598,420,595,1450,2165,2456,0,0,0,0,0,0,0,0,0,0,0,0,241,0
5a77440912402ccda001b21e31aae689,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,971,2114,4609,0,0,0,0,0,0
878bcd3900b412882f0064908a53bb17,1614,1950,1786,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,1992,0,0
6c557e60b746ac53c2b6b5cf5b397527,0,0,0,0,980,1020,446,1490,1272,1861,0,0,0,0,0,0,0,0,0,0,0,0,666,0
7f32764df5248f5651a4819e2772b789,0,0,0,0,1599,1589,640,923,885,1001,0,0,0,0,0,145,0,0,0,0,0,0,764,0
21a99ce9b0fa67589bd12a8c051f033b,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,5383
9d04958a8b74b2e47cdbb3ebb9ae3e8c,0,0,0,0,0,2,0,2468,2902,1929,0,0,0,0,0,125,0,0,0,0,0,0,0,0
c8fec265213a8f86818b2e62c39836c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,1551,4854,0,262,447
d5e81aa9c0941888a4a28c0a055db3e7,0,0,0,0,0,0,0,0,0,0,7227,0,0,0,0,0,0,0,0,0,0,0,0,0
bc7d1c2bf341a5ba837c65179aaae981,0,0,0,0,0,0,0,0,0,0,0,0,191,695,5215,208,0,0,0,116,672,0,0,0
4cedc07e8f0e7021f2f79d4a5428bdf1,0,0,0,0,1295,1500,544,1003,1099,1017,0,0,0,0,0,0,0,0,0,0,0,0,611,0
c0ad1a91866a94b07328246670c3156b,0,0,0,0,0,0,0,0,0,0,0,0,1405,2305,2856,0,492,0,0,0,0,0,0,0
10e471805d6db60591f5f47122549a31,0,0,0,0,0,0,0,0,0,0,0,0,2824,2200,1997,0,0,0,0,0,0,0,0,0
e7ee4566b6ccdf2ffd35f508f155f66c,0,0,0,0,144,124,180,2310,2020,1801,0,0,0,124,0,0,0,0,0,0,0,0,134,114
feea0b2e02c08f2c8d9b7d9696ef0561,1547,1647,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,0
ef64aeffd0c478f96ddc266be885fcf1,1644,1663,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,0,0
020ad8fdaf7f30dd00bba66c13d2f60a,1689,1523,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,0,0
