ID,WS023_S167,WS026_S140,WS027_S171,WS028_S161,WS029_S141,WS031_S151,WS032_S170,WS034_S142,WS035_S152,WS036_S172,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
0104f9707feb760b569402e2b85c931b,0,0,0,50,0,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__BMAH01;s__BMAH01 sp014132615,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-16500,DSM-16500,BMAH01,BMAH01 sp014132615,0.978329451719338
b9b25182a49f95bb8264ff22280ee55c,0,0,0,50,0,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,0.9994871384882464
2a153e889b4572f565ccba78f8312cce,0,0,0,38,12,0,0,0,0,0,d__Bacteria;p__Pseudomonadota,Bacteria,Pseudomonadota,NA,NA,NA,NA,NA,0.8825568172983692
cf1da488ac7b61986faddf66d0b9da98,0,0,0,27,23,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,0.9634864079903788
1a3db120ab4e914c711233a0ddd1cc56,0,0,0,0,50,0,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,NA,NA,0.9999876079480012
9ec848289a57db82eb7b8334a4c3e8f6,0,0,0,0,35,0,0,0,15,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,Archaea,Nanoarchaeota,Nanoarchaeia,NA,NA,NA,NA,0.7244737071049301
0587e2bb98178ddf3417c8118c2cc2f8,0,0,0,0,33,0,0,0,0,17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,0.9849457706996974
daca135df80de5d859f5b4dec70cb4ed,0,0,0,0,24,26,0,0,0,0,d__Bacteria,Bacteria,NA,NA,NA,NA,NA,NA,0.9999361796388616
7c58081f98b1508c2b84f47a7adb51ad,0,0,0,0,0,50,0,0,0,0,d__Bacteria,Bacteria,NA,NA,NA,NA,NA,NA,0.999707677448729
49a74d44b0ef9eee873781deae4085bb,0,0,0,0,0,50,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,0.7884451799950402
72bc8f5adcf1ab47513db284888279a6,0,0,0,0,0,50,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,0.9972961488659424
4ac4899d94d20dbbad335be12327cded,0,0,0,0,0,43,0,0,7,0,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Holophaga,NA,0.7939841663909907
